,,,,,,,,,,,,
,Lista de componentes ,,,,,,,,,,,
,Bloque,Nombre del componente,,,Link de compra,,Precio Unitario,Cantidad,Precio Total,Datasheet (Opc.),,
,Camara,OV2640 (Modulo Arducam),,,https://www.amazon.com/Arducam-megap%C3%ADxeles-compatible-Mega2560-Raspberry/dp/B012UXNDOY/ref=pd_rhf_dp_s_ci_mcx_mr__d_sccl_2_1/141-7791732-9970342?pd_rd_w=InCt5&content-id=amzn1.sym.c2ce25da-4d17-4f37-af20-bde98a9f0bcd:amzn1.symc.d3391730-f670-41da-8b34-61787b3edb82&pf_rd_p=c2ce25da-4d17-4f37-af20-bde98a9f0bcd&pf_rd_r=TYD67ZV8ARRCRK2W4T05&pd_rd_wg=PeRef&pd_rd_r=053f93a9-5860-44bd-8fad-705baabaeb83&pd_rd_i=B012UXNDOY&psc=1,,"25,99",1,"25,99",,,
,,Capacitor 100uF,,,https://www.mouser.com/ProductDetail/Panasonic/EEE-FP1C101AP?qs=d1CqaRUMZD%2Fuw16I%252BRuXOw%3D%3D,,"0,63",2,"1,26",16V,,
,,Capacitor 100nF,,,https://www.mouser.com/ProductDetail/KEMET/C0805C104K5RACTU?qs=Pc30aiB8zWUISNb2Qeyxfw%3D%3D,,"0,1",1,"0,1",,,
,,Cable (falta ver cual),,,,,,,,,,
,,Conector macho y hembra (falta ver cual),,,,,,,,,,
,Alimentacion,USB4125-GF-A,,,https://www.mouser.com/ProductDetail/GCT/USB4125-GF-A?qs=KUoIvG%2F9IlaIQ4zBJ6gLeA%3D%3D,,"0,74",2,"1,48",,,
,,Capacitor 100uF,,,https://www.mouser.com/ProductDetail/Panasonic/EEE-FP1C101AP?qs=d1CqaRUMZD%2Fuw16I%252BRuXOw%3D%3D,,"0,63",1,"0,63",16V,,
,,Capacitor 100nF,,,https://www.mouser.com/ProductDetail/KEMET/C0805C104K5RACTU?qs=Pc30aiB8zWUISNb2Qeyxfw%3D%3D,,"0,1",1,"0,1",,,
,,Resistencia 5.1k,,,https://www.mouser.com/ProductDetail/Vishay/CRCW08055K10FKEA?qs=8UjxRNpjuUJoSywMOtT5pg%3D%3D,,"0,1",2,"0,2",,,
,USB C,USB4105-GF-A,,,https://www.mouser.com/ProductDetail/GCT/USB4105-GF-A?qs=KUoIvG%2F9IlY%2FMLlBMpStpA%3D%3D,,"0,88",2,"1,76",,,
,,Capacitor 100uF,,,https://www.mouser.com/ProductDetail/Panasonic/EEE-FP1C101AP?qs=d1CqaRUMZD%2Fuw16I%252BRuXOw%3D%3D,,"0,63",1,"0,63",16V,,
,,Capacitor 100nF,,,https://www.mouser.com/ProductDetail/KEMET/C0805C104K5RACTU?qs=Pc30aiB8zWUISNb2Qeyxfw%3D%3D,,"0,1",1,"0,1",,,
,,Resistencia 5.1k,,,https://www.mouser.com/ProductDetail/Vishay/CRCW08055K10FKEA?qs=8UjxRNpjuUJoSywMOtT5pg%3D%3D,,"0,1",2,"0,2",1/4W - 1%,,
,Proteccion,Diodo Schottky 1N5819HWQ-7-F,,,https://www.mouser.com/ProductDetail/Diodes-Incorporated/1N5819HWQ-7-F?qs=gZXFycFWdAPDr8BmsK1ygg%3D%3D,,"0,43",2,"0,86",https://4donline.ihs.com/images/VipMasterIC/IC/DIOD/DIOD-S-A0007740344/DIOD-S-A0007740344-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,,
,,MOSFET DMG2305UXQ-7,,,https://www.mouser.com/ProductDetail/Diodes-Incorporated/DMG2305UXQ-7?qs=60RJRzIpcl%2FUiAojHt1c9w%3D%3D,,"0,36",2,"0,72",https://www.mouser.com/datasheet/3/175/1/DMG2305UXQ.pdf,,
,,Resistencia 10k,,,https://www.mouser.com/ProductDetail/YAGEO/RC0805FR-0710KL?qs=7bY8808IzHq6vrU3BeiiYw%3D%3D,,"0,13",1,"0,13",,,
